Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -2048.7231   -2056.7265       8.0033  2063.9
0.002       -2048.7045   -2055.8558       7.1513  1844.1
0.003       -2048.7090   -2055.2292       6.5202  1681.4
0.004       -2048.7033   -2054.7017       5.9984  1546.8
0.005       -2048.6890   -2054.2599       5.5710  1436.6
0.006       -2048.6838   -2053.9856       5.3018  1367.2
0.007       -2048.6804   -2053.9202       5.2398  1351.2
0.008       -2048.6838   -2054.0643       5.3805  1387.5
0.009       -2048.6949   -2054.3471       5.6522  1457.6
0.010       -2048.6958   -2054.6803       5.9845  1543.3
0.011       -2048.6917   -2055.1129       6.4212  1655.9
0.012       -2048.6843   -2055.7742       7.0899  1828.3
0.013       -2048.7452   -2056.6585       7.9132  2040.6
0.014       -2048.9322   -2056.9308       7.9986  2062.6
0.015       -2048.3692   -2055.1144       6.7452  1739.4
0.016       -2049.0079   -2056.5459       7.5380  1943.9
0.017       -2048.8292   -2056.5949       7.7657  2002.6
0.018       -2048.7788   -2055.8845       7.1057  1832.4
0.019       -2048.7951   -2055.2608       6.4657  1667.4
0.020       -2048.7907   -2054.7439       5.9532  1535.2
0.021       -2048.7965   -2054.4046       5.6081  1446.2
0.022       -2048.7912   -2054.2523       5.4611  1408.3
0.023       -2048.7916   -2054.3224       5.5309  1426.3
0.024       -2048.7984   -2054.5607       5.7623  1486.0
0.025       -2048.7936   -2054.8794       6.0857  1569.4
0.026       -2048.7943   -2055.2588       6.4645  1667.0
0.027       -2048.8102   -2055.6711       6.8610  1769.3
0.028       -2048.8169   -2056.0383       7.2214  1862.2
0.029       -2048.8636   -2056.2960       7.4324  1916.6
0.030       -2048.9462   -2055.9230       6.9768  1799.1
0.031       -2048.5611   -2054.9871       6.4259  1657.1
